loss,val_loss,lr
0.031018486246466637,0.19109989702701569,0.001
0.01990588568150997,0.08529725670814514,0.001
0.01640505902469158,0.15429790318012238,0.001
0.015234734863042831,0.14964379370212555,0.001
0.014456270262598991,0.17103761434555054,0.001
0.01395539753139019,0.03261321038007736,0.001
0.013654913753271103,0.07144927978515625,0.001
0.013326807878911495,0.19935090839862823,0.001
0.013068106956779957,0.23080432415008545,0.001
0.012937178835272789,0.24025382101535797,0.001
0.012916630133986473,0.13597147166728973,0.001
0.01279293093830347,0.038574859499931335,0.001
0.01274955179542303,0.20235107839107513,0.001
0.012679015286266804,0.0876585990190506,0.001
0.012599668465554714,0.17324937880039215,0.001
0.012522399425506592,0.1888362020254135,0.001
0.01244631502777338,0.13811315596103668,0.001
0.012450926005840302,0.11245544999837875,0.001
0.012381126172840595,0.070745088160038,0.001
0.01239083707332611,0.2509119510650635,0.001
